,요리명,재료
252652,또띠아피자,"['또띠아 1장', '토마토스파게티 소스50g', '빨강파프리카1/2개', '노랑파프리카 1/2개', '햄30g', '양파 1/4개', '파슬리가루 약간', '치즈1/2봉지']"
76273,만두국,"['왕만두 4개', '사골곰탕 국물 1봉', '양파 1/4개', '애호박(채썰어) 1줌', '대파 조금', '청양고추 조금', '계란 1개', '다진마늘 0.5T  소금 조금', '참기름(생략가능) 조금']"
9360,궁중떡볶이,"['양념소불고기350g', '양파1/4개', '대파1/3대', '떡국떡250g', '맛간장1.5큰술', '산초가루1작은술', '통후추2바퀴', '쪽파3줄기', '참기름1큰술', '통깨솔솔']"
97038,바지락알리오올리오파스타,"['바지락', '스파게티면', '올리브오일', '호박', '당근', '양파', '편마늘', '후추', '물', '소금']"
154685,산나물튀김,"['두릅 나물 1줌', '엄나무순 1줌', '어너리나물 1줌', '튀김가루 1컵', '생수 2/3컵', '얼음 2조각  간장 2큰술', '식초 1/2큰술', '생수 1/2큰술']"
261022,새송이버섯볶음,"['새송이버섯 1팩', '홍피망 약간', '노랑피망 약간', '대파 1/4개', '양파 1/4개  진간장 2큰술', '굴소스 2큰술', '올리고당 2큰술', '간마늘 1/2큰술', '참기름 1큰술', '통깨 1큰술']"
30463,치킨치아바타,"['치아바타', '치킨텐더', '오이피클  씨겨자', '머스타드', '핫소스']"
132909,참치볶음밥,"['즉석밥 2개', '참치 1캔', '양파 1개', '계란 2알', '깨 적당히', '카놀라유  간장', '참기름']"
287002,목은지참치김밥,"['묵은지 1/4포기', '참치캔 2개', '밥 2공기  마요네즈 듬뿍3스푼', '설탕 1티스푼', '맛소금 2꼬집  참기름', '맛소금', '깨']"
47035,김밥전,"['김밥 1줄', '달걀 1개', '올리브유 2T']"
197932,초고초고,"['으깬고구마 50g', '으깬단호박 50g', '식빵 1쪽', '견과류 20g', '초코렛 80g', '버터 10g']"
64668,미역냉국,"['생미역 1팩', '멸치육수/천연조미료육수', '맛간장 2큰술', '식초 1큰술', '다진마늘 1/2큰술', '파 1/4개', '심미즙 1큰술', '매실액 1큰술', '오이 1개', '홍고추 1개', '청양고추 1개']"
109609,딸기치즈토스트,"['식빵 1개', '모짜렐라 치즈 적당량', '딸기잼 적당량']"
282304,두부덮밥,"['두부 1모', '고추가루', '간장']"
151146,대구뽈찜,"['대구뽈', '당근', '양파', '고추', '대파', '팽이버섯', '콩나물', '새우살  고추장', '고춧가루', '간장', '설탕', '올리고당', '다진마늘', '생강가루', '후추', '참기름']"
